ID,Nom,Categorie,PrixAchat_FDJ,PrixVente_FDJ,Quantite,DateExpiration,PrixAchat_original_avant_correction,ProductID
1235,WELL BABY DROPS VIT 4-24M YEARS,Non catégorisé,1100,1400,19,,,1E64611A-19F8-4BAA-8CC9-00318D00A54C
458,DUPHASTON CPR 10MG BT10,Non catégorisé,950,1300,16,,,994EC9D6-BDBA-482F-B702-003B9871FE35
1335,R1229,Non catégorisé,0,550,12,,,E5392B49-0F53-4F17-AD21-008ABB671795
593,RINGER FL500ML,Non catégorisé,300,0,0,,,9681F218-16D4-43AB-9586-009522218B46
134,PEDIAKID TRANSIT DOUX SIROP 125ML,Non catégorisé,2410,0,6,,2410000,67522E0C-11CC-4AB0-A5DD-0099EB968562
452,DICYNONE (EGY) 500MG BT/14,Non catégorisé,900,0,0,,,7193EA22-82E3-4DC2-904E-00C15E682A1E
729,GLUCOPHAGE 500MG CPR BT 30,Non catégorisé,350,500,29,1/1/2029 12:00:00 AM,,AC5FDBF7-8C88-4C22-BAAC-00D8218CB79E
533,NOZINAN 100MG CPR BT20,Non catégorisé,3800,4000,6,1/2/2027 12:00:00 AM,,467B79C4-86E9-4CC3-93AA-00DFDCAC9474
898,EVOLUDERM LOTION TONIQUE EAU DE ROSE 250 ML,Non catégorisé,511,760,6,,,2F37E68F-2A0B-4607-B6FA-0115F7E84AA4
1247,BUSCOPAN 1ML INJ B6,Non catégorisé,150,200,4,,,7C1E3970-4AD9-471C-B845-0163C9BF98D4
568,SIMVA-DENK 20MG B/30 (SIMVASTATIN),Non catégorisé,1450,0,0,,,1D499EF9-229A-43F7-85FE-02079123C545
47,MAGNESIE PELL NORM,Non catégorisé,0,0,0,,,A34B3D62-6CB1-4BB0-A3D0-029AD083273F
431,BETAMETHASONE GH 2MG CPR B/20,Non catégorisé,800,0,0,,,870CE69B-5731-47D4-9CB6-029E646D93FD
1158,LIPITOR 20MG 30TB,Non catégorisé,1400,1450,3,,,9D46A1FF-F614-43DF-9B0A-02AA64AD2A10
48,METHOTREXATE 2.5MG 100TAB,Non catégorisé,0,0,0,,,CFC64828-888F-490D-B2AD-02C9286792EB
1022,MAGNESIE SAN PELLEGRINO,Sachet,1400,1500,9,,,18DE0C00-1AD5-46D2-8BF9-02EAA7EF67E2
96,EFFERALGAN EFF 500MG CPR,Non catégorisé,0,0,0,,,DF84E5E9-D27C-43CD-9142-02F4B809283F
777,NYSTASHA 100000UI CPR VAGINAL B/14,Médicaments,600,550,6,,,8C6C7CB5-30A9-472F-89E3-033262E34213
1045,CONCOR 5mg BT /30,Non catégorisé,900,1250,8,,,AF963B2C-818A-4E8A-A590-033FB61AD873
5,BETADINE SCRUB 4% FL125ML,Non catégorisé,600,650,0,1/6/2027 12:00:00 AM,,6EC45027-77B0-46FE-B8B4-035CD9E478C8
1018,BATAMETHASONE-GH 2MG CP,Médicaments,900,950,5,,,9B263E72-E7F8-4048-AA05-03661AC402DE
1271,NURAVIT 4MG CPR PELL B/15,Vitamine,900,1000,18,,,1CAA7A5A-C298-49D6-8930-036A4E693919
1052,PANADOL EXTRA CPR BT/24,Médicaments,0,650,0,,,EF42DD5B-C87E-4090-8C87-03A37A27F67F
1074,FERCEFOL CP,Non catégorisé,0,700,28,,,24AE99DB-BCFD-4803-97CB-03B16574C34B
697,OROKEN ENF.100MG/5ML FL40ML,Sirop,2750,2900,17,1/3/2027 12:00:00 AM,,5E09623A-E17F-4431-89D3-03D4B9130F0C
1255,PERFECT 5 PP BOY 240,Non catégorisé,900,1100,2,,,51F2BC20-8D5F-455A-8414-03FB1EE03B18
171,CLOTRI-DENK 100MG VAGINAL 50,Médicaments,650,750,18,,,A15256D6-7E10-4C91-B451-041D69DBE3A5
75,OROKEN 50MG/5ML SPR,Non catégorisé,0,0,0,,,66171475-7A09-42EA-8F4C-04201A4E1C8E
27,BRUFEN COLD 400MG B/20TAB (EGYPT),Médicaments,800,850,3,1/1/2027 12:00:00 AM,,B1E6EB2E-DA43-4172-AAAD-043168C9A6C6
401,ALVITYL CPR B40,Non catégorisé,1350,0,0,,,E65C58EF-F339-463F-9D4A-04F9D4E1FD4A
93,DICYNONE (EGY) 500MG BT20,Non catégorisé,0,0,0,,,E4F2ECD3-BEB8-45D3-B536-053369A7800B
50,XATRAL LP 10MG CPR B36,Médicaments,4600,4700,0,1/8/2026 12:00:00 AM,,933A7500-B71A-43BB-B8FD-055655F53A98
1288,UPSA C 1G EFFERV.BT10,Non catégorisé,400,500,3,,,0B882FAD-577E-4FE3-91CA-058E2BECE03F
709,BUSCOPAN DR CPR BT20,Non catégorisé,750,1100,11,1/12/2027 12:00:00 AM,,D25A030E-0360-41F0-BD78-05C65384A405
358,RIVACLAV 228MG SUSP 70ML,Non catégorisé,1350,0,0,,,002127AF-2AA2-41A3-B7EF-05E36DD20725
250,IBUPROFENE IG 400MG CPR/10,Non catégorisé,320,400,6,,320000,BEA3C3C0-48DA-47AB-BA8E-06F94492828F
1124,AKTIV KOLLAGEN 1000,Non catégorisé,1850,1950,4,,,559BB4EE-188B-4DD1-94AD-07C4B89051C7
836,BM TALCUM POWDER 150GR,Non catégorisé,1200,1300,6,,,A18B1A4E-795F-489C-8E8A-07DF8440C39A
669,TOCO CAPS 500MG BT30,Non catégorisé,1000,1050,5,1/12/2028 12:00:00 AM,,F400F352-2DAC-4772-96C6-07F47423BAE8
905,WHISKY BLACK OP MEN DEO. SPRAY 150 ML,Non catégorisé,525,750,2,,,453710DD-4A84-4820-89CF-080E62C595CF
1071,FERCEFOL SIROP,Sirop,0,700,30,,,1F0461EA-D928-4DDB-8292-0810B57752C1
1015,MICOZAL Ketoconazole 2% créme cream,Non catégorisé,0,600,16,,,553EBCB3-6333-41E8-888C-08196C41CC8C
1197,SEPTIVON 1.5% CUT FL250ML,Para-médical,0,900,3,,,B6FAA90F-E592-4DA8-97CB-085BD0E4B675
1020,VISCERALGINE 10MG/5ML,Non catégorisé,800,0,0,,,7A56CCFF-691C-4711-8706-088A8B465210
926,CYBELE 200 BATONNETS OUATES 100 /o PURE COTTON,Non catégorisé,256,380,42,,,09012E4B-A67E-4441-B4D2-08E301BF5EBD
353,ALVIR CR 5% T/5G,Non catégorisé,1250,1350,4,,,3DE35793-0791-4823-AAD2-090575722DF2
1121,AKTIV COENSYME Q10,Non catégorisé,1450,1550,3,,,48D5254E-C7DE-45CD-AB71-09AB65233347
1023,CLINDA T 30ML,Dermo-cosmétique,860,960,17,,,372895B2-BDA3-4C49-BF50-09C116780B55
574,TENORETIC 50/12.5MG CPR B/30,Médicaments,1750,1850,4,,,6595880A-1A8B-4E42-A2EC-09D613D1B0BB
870,BPH CREME HYDRATANT VISAGE & CORPS POT 250ML,Non catégorisé,596,880,12,,,26353394-FA64-4F05-B624-09D730083213
113,TETANUS ANTITOXIN 1500 I.U 1ML,Non catégorisé,800,900,36,,,9725F908-61DB-46F1-8D03-0A22EF823F43
525,MOPRAL GELU 20MG BT30,Médicaments,2100,2000,20,1/8/2026 12:00:00 AM,,914E00FB-864A-4F69-82B3-0A35D9851C4B
64,FLUIMUCIL 2MG/5ML SP,Non catégorisé,0,0,5,,,B70EBCA4-2027-4917-AADD-0A5AAE9BF5A3
1212,HAMAZINC CREME 30MG,Crème,520,650,10,,,457D9281-C93F-4917-A1C6-0A70790FDEE9
177,FUCIDINE 2% CRM TUB 15G,Non catégorisé,750,0,10,,750000,A340285F-2951-41A1-94CD-0A7FD991A3AF
1048,BETNOVATE KREM 30mg,Non catégorisé,900,1000,4,,,6726BB07-E7F3-4445-8D7A-0B1F47AD4050
509,KEPPRA 500mg,Non catégorisé,3500,3300,9,,,516D831C-F836-464F-8026-0B4B34539CBD
1026,SALI FINE,Non catégorisé,750,850,30,,,A9EE9AA9-618D-4E84-A76E-0C034CB9E859
1172,on call plus,Non catégorisé,0,1200,2,,,43A362E0-C324-43EE-8527-0C73742248C0
605,PLAVIX 75MG 28TB DR,Non catégorisé,1600,1700,7,,,8036DB2D-9B2F-44DB-9D50-0C79FA8531F6
